Classes: 23
[name:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:Then ]
[name:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:ConsultationOutcome, file:alphagov_whitehall\app\models\consultation_outcome.rb, step:Then ]
[name:ConsultationPublicFeedback, file:alphagov_whitehall\app\models\consultation_public_feedback.rb, step:Then ]
[name:DetailedGuide, file:alphagov_whitehall\app\models\detailed_guide.rb, step:Then ]
[name:Document, file:alphagov_whitehall\app\models\document.rb, step:When ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Given ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:Edition, file:alphagov_whitehall\app\models\edition.rb, step:Then ]
[name:GDS, file:null, step:Given ]
[name:NewsArticle, file:alphagov_whitehall\app\models\news_article.rb, step:Then ]
[name:Options, file:alphagov_whitehall\lib\whitehall\document_filter\options.rb, step:When ]
[name:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:Publication, file:alphagov_whitehall\app\models\publication.rb, step:Then ]
[name:Rails, file:null, step:When ]
[name:Speech, file:alphagov_whitehall\app\models\speech.rb, step:Then ]
[name:THE_DOCUMENT, file:null, step:When ]
[name:THE_DOCUMENT, file:null, step:Then ]
[name:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Given ]
[name:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Then ]
[name:User, file:alphagov_whitehall\app\models\user.rb, step:Given ]

Methods: 129
[name:attach_file, type:Object, file:null, step:When ]
[name:evaluate_script, type:Object, file:null, step:When ]
[name:execute_script, type:Object, file:null, step:When ]
[name:fill_in, type:Object, file:null, step:When ]
[name:fill_in_change_note_if_required, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:find, type:Object, file:null, step:When ]
[name:find_by, type:Object, file:null, step:When ]
[name:find_by, type:Attachment, file:alphagov_whitehall\app\models\attachment.rb, step:When ]
[name:find_by!, type:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:find_by!, type:TopicalEvent, file:alphagov_whitehall\app\models\topical_event.rb, step:Then ]
[name:find_field, type:Object, file:null, step:When ]
[name:first, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:first, type:Topic, file:alphagov_whitehall\app\models\topic.rb, step:When ]
[name:from_now, type:Object, file:null, step:When ]
[name:gsub, type:Object, file:null, step:Given ]
[name:has_content?, type:Object, file:null, step:Then ]
[name:has_css?, type:Object, file:null, step:Then ]
[name:has_css?, type:Object, file:null, step:When ]
[name:has_no_css?, type:Object, file:null, step:When ]
[name:humanize, type:Object, file:null, step:When ]
[name:index, type:PublicationsController, file:alphagov_whitehall\app\controllers\admin\publications_controller.rb, step:When ]
[name:index, type:PublicationsController, file:alphagov_whitehall\app\controllers\publications_controller.rb, step:When ]
[name:index, type:AnnouncementsController, file:alphagov_whitehall\app\controllers\announcements_controller.rb, step:When ]
[name:index, type:ConsultationsController, file:alphagov_whitehall\app\controllers\admin\consultations_controller.rb, step:When ]
[name:index, type:ConsultationsController, file:alphagov_whitehall\app\controllers\consultations_controller.rb, step:When ]
[name:index, type:Admin\dashboardController, file:alphagov_whitehall\app\controllers\admin\dashboard_controller.rb, step:When ]
[name:index, type:Admin\findInAdminBookmarkletController, file:alphagov_whitehall\app\controllers\admin\find_in_admin_bookmarklet_controller.rb, step:When ]
[name:index, type:Admin\editionsController, file:alphagov_whitehall\app\controllers\admin\editions_controller.rb, step:When ]
[name:join, type:Object, file:null, step:When ]
[name:last, type:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:When ]
[name:last, type:ConsultationOutcome, file:alphagov_whitehall\app\models\consultation_outcome.rb, step:Then ]
[name:last, type:ConsultationPublicFeedback, file:alphagov_whitehall\app\models\consultation_public_feedback.rb, step:Then ]
[name:last, type:Consultation, file:alphagov_whitehall\app\models\consultation.rb, step:Then ]
[name:login_as, type:GdsSsoHelper, file:alphagov_whitehall\features\support\gds_sso_helper.rb, step:Given ]
[name:name, type:Person, file:alphagov_whitehall\app\models\person.rb, step:Given ]
[name:name, type:SitewideSetting, file:alphagov_whitehall\app\models\sitewide_setting.rb, step:Given ]
[name:name, type:RolePresenter, file:alphagov_whitehall\app\presenters\role_presenter.rb, step:Given ]
[name:name, type:DataMigration, file:alphagov_whitehall\lib\whitehall\data_migration.rb, step:Given ]
[name:name, type:Person, file:alphagov_whitehall\app\models\person.rb, step:Then ]
[name:name, type:SitewideSetting, file:alphagov_whitehall\app\models\sitewide_setting.rb, step:Then ]
[name:name, type:RolePresenter, file:alphagov_whitehall\app\presenters\role_presenter.rb, step:Then ]
[name:name, type:DataMigration, file:alphagov_whitehall\lib\whitehall\data_migration.rb, step:Then ]
[name:name, type:Person, file:alphagov_whitehall\app\models\person.rb, step:When ]
[name:name, type:SitewideSetting, file:alphagov_whitehall\app\models\sitewide_setting.rb, step:When ]
[name:name, type:RolePresenter, file:alphagov_whitehall\app\presenters\role_presenter.rb, step:When ]
[name:name, type:DataMigration, file:alphagov_whitehall\lib\whitehall\data_migration.rb, step:When ]
[name:name, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:page, type:StatisticsAnnouncementsFilter, file:alphagov_whitehall\app\models\frontend\statistics_announcements_filter.rb, step:Then ]
[name:page, type:Paginator, file:alphagov_whitehall\app\presenters\api\paginator.rb, step:Then ]
[name:page, type:StatisticsAnnouncementsFilter, file:alphagov_whitehall\app\models\frontend\statistics_announcements_filter.rb, step:When ]
[name:page, type:Paginator, file:alphagov_whitehall\app\presenters\api\paginator.rb, step:When ]
[name:pdf_attachment, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:publish, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:publish, type:EditionWorkflowController, file:alphagov_whitehall\app\controllers\admin\edition_workflow_controller.rb, step:When ]
[name:publish, type:PublishingApiHtmlAttachmentsWorker, file:alphagov_whitehall\app\workers\publishing_api_html_attachments_worker.rb, step:When ]
[name:publish, type:PublishStaticPages, file:alphagov_whitehall\lib\publish_static_pages.rb, step:When ]
[name:raise, type:Object, file:null, step:Then ]
[name:record_css_selector, type:Object, file:null, step:Then ]
[name:refute, type:Object, file:null, step:Then ]
[name:refute_flash_alerts_exist, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:select, type:Javascript, file:alphagov_whitehall\features\support\javascript.rb, step:When ]
[name:select_date, type:Object, file:null, step:When ]
[name:select_from_chosen, type:Javascript, file:alphagov_whitehall\features\support\javascript.rb, step:When ]
[name:select_most_recent_consultation_from_list, type:ConsultationHelper, file:alphagov_whitehall\features\support\consultation_helper.rb, step:Then ]
[name:select_option, type:Object, file:null, step:When ]
[name:select_topic_if_required, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:send, type:Edition, file:alphagov_whitehall\app\models\edition.rb, step:When ]
[name:set_lead_organisation_on_document, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:show, type:DetailedGuidesController, file:alphagov_whitehall\app\controllers\admin\detailed_guides_controller.rb, step:When ]
[name:show, type:ConsultationsController, file:alphagov_whitehall\app\controllers\admin\consultations_controller.rb, step:When ]
[name:show, type:ConsultationsController, file:alphagov_whitehall\app\controllers\consultations_controller.rb, step:When ]
[name:show, type:Admin\findInAdminBookmarkletController, file:alphagov_whitehall\app\controllers\admin\find_in_admin_bookmarklet_controller.rb, step:When ]
[name:title, type:EditionFilter, file:alphagov_whitehall\app\models\admin\edition_filter.rb, step:When ]
[name:title, type:StatisticsAnnouncementFilter, file:alphagov_whitehall\app\models\admin\statistics_announcement_filter.rb, step:When ]
[name:title, type:ClassificationFeaturing, file:alphagov_whitehall\app\models\classification_featuring.rb, step:When ]
[name:title, type:CorporateInformationPage, file:alphagov_whitehall\app\models\corporate_information_page.rb, step:When ]
[name:title, type:FeaturedPolicy, file:alphagov_whitehall\app\models\featured_policy.rb, step:When ]
[name:title, type:EmailSignupInformationPresenter, file:alphagov_whitehall\app\presenters\email_signup_information_presenter.rb, step:When ]
[name:title, type:FeaturePresenter, file:alphagov_whitehall\app\presenters\feature_presenter.rb, step:When ]
[name:title, type:PromotionalFeatureItemPresenter, file:alphagov_whitehall\app\presenters\promotional_feature_item_presenter.rb, step:When ]
[name:title, type:EditionFilter, file:alphagov_whitehall\app\models\admin\edition_filter.rb, step:Then ]
[name:title, type:StatisticsAnnouncementFilter, file:alphagov_whitehall\app\models\admin\statistics_announcement_filter.rb, step:Then ]
[name:title, type:ClassificationFeaturing, file:alphagov_whitehall\app\models\classification_featuring.rb, step:Then ]
[name:title, type:CorporateInformationPage, file:alphagov_whitehall\app\models\corporate_information_page.rb, step:Then ]
[name:title, type:FeaturedPolicy, file:alphagov_whitehall\app\models\featured_policy.rb, step:Then ]
[name:title, type:EmailSignupInformationPresenter, file:alphagov_whitehall\app\presenters\email_signup_information_presenter.rb, step:Then ]
[name:title, type:FeaturePresenter, file:alphagov_whitehall\app\presenters\feature_presenter.rb, step:Then ]
[name:title, type:PromotionalFeatureItemPresenter, file:alphagov_whitehall\app\presenters\promotional_feature_item_presenter.rb, step:Then ]
[name:to_json, type:Object, file:null, step:When ]
[name:to_s, type:Classification, file:alphagov_whitehall\app\models\classification.rb, step:When ]
[name:to_s, type:Feature, file:alphagov_whitehall\app\models\feature.rb, step:When ]
[name:to_s, type:FeatureList, file:alphagov_whitehall\app\models\feature_list.rb, step:When ]
[name:to_s, type:OffsiteLink, file:alphagov_whitehall\app\models\offsite_link.rb, step:When ]
[name:to_s, type:Organisation, file:alphagov_whitehall\app\models\organisation.rb, step:When ]
[name:to_s, type:Role, file:alphagov_whitehall\app\models\role.rb, step:When ]
[name:to_s, type:WorldLocation, file:alphagov_whitehall\app\models\world_location.rb, step:When ]
[name:to_s, type:PublishingApiSyncCheck, file:alphagov_whitehall\lib\data_hygiene\publishing_api_sync_check.rb, step:When ]
[name:to_s, type:Failure, file:alphagov_whitehall\lib\sync_checker\failure.rb, step:When ]
[name:to_s, type:CollectionDecorator, file:alphagov_whitehall\lib\whitehall\decorators\collection_decorator.rb, step:When ]
[name:underscore, type:Object, file:null, step:Given ]
[name:upload_new_attachment, type:AttachmentHelper, file:alphagov_whitehall\features\support\attachment_helper.rb, step:When ]
[name:view_visible_consultation_on_website, type:ConsultationHelper, file:alphagov_whitehall\features\support\consultation_helper.rb, step:Then ]
[name:visible?, type:Object, file:null, step:When ]
[name:visit_edition_admin, type:DocumentHelper, file:alphagov_whitehall\features\support\document_helper.rb, step:When ]
[name:visit_public_index_for, type:Paths, file:alphagov_whitehall\features\support\paths.rb, step:Then ]
[name:within, type:Object, file:null, step:When ]
[name:within, type:Object, file:null, step:Then ]

Referenced pages: 27
alphagov_whitehall\app\views\admin\consultations\_additional_significant_fields.html.erb
alphagov_whitehall\app\views\admin\consultations\_date_fields.html.erb
alphagov_whitehall\app\views\admin\consultations\_first_published_at.html.erb
alphagov_whitehall\app\views\admin\consultations\_form.html.erb
alphagov_whitehall\app\views\admin\consultations\_required_fields_for_imported_editions.html.erb
alphagov_whitehall\app\views\admin\dashboard\_document_table.html.erb
alphagov_whitehall\app\views\admin\dashboard\index.html.erb
alphagov_whitehall\app\views\admin\editions\_filter_options.html.erb
alphagov_whitehall\app\views\admin\editions\_search_results.html.erb
alphagov_whitehall\app\views\admin\editions\index.html.erb
alphagov_whitehall\app\views\admin\find_in_admin_bookmarklet\_bookmarklet.erb
alphagov_whitehall\app\views\admin\find_in_admin_bookmarklet\ie.html.erb
alphagov_whitehall\app\views\admin\find_in_admin_bookmarklet\index.html.erb
alphagov_whitehall\app\views\admin\find_in_admin_bookmarklet\other.html.erb
alphagov_whitehall\app\views\admin\shared\_policy_fields.html.erb
alphagov_whitehall\app\views\announcements\index.html.erb
alphagov_whitehall\app\views\consultations\_document_summary.html.erb
alphagov_whitehall\app\views\consultations\show.html.erb
alphagov_whitehall\app\views\documents\_attachment_full_width.html.erb
alphagov_whitehall\app\views\documents\_document_footer_meta.html.erb
alphagov_whitehall\app\views\documents\_filter_form.html.erb
alphagov_whitehall\app\views\documents\_filter_results.html.erb
alphagov_whitehall\app\views\documents\_header.html.erb
alphagov_whitehall\app\views\documents\_share_links.html.erb
alphagov_whitehall\app\views\publications\index.html.erb
alphagov_whitehall\app\views\shared\_feeds.html.erb
alphagov_whitehall\app\views\shared\_heading.html.erb

