Classes: 11
[name:ActionMailer, file:null, step:Then ]
[name:Block, file:diaspora_diaspora\app\models\block.rb, step:When ]
[name:BlocksController, file:diaspora_diaspora\app\controllers\blocks_controller.rb, step:When ]
[name:FactoryGirl, file:null, step:Given ]
[name:Hash, file:null, step:When ]
[name:InvitationCode, file:diaspora_diaspora\app\models\invitation_code.rb, step:When ]
[name:Request, file:diaspora_diaspora\lib\diaspora\federated\request.rb, step:When ]
[name:User, file:diaspora_diaspora\app\models\user.rb, step:Given ]
[name:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:UsersController, file:diaspora_diaspora\app\controllers\admin\users_controller.rb, step:When ]
[name:UsersController, file:diaspora_diaspora\app\controllers\users_controller.rb, step:When ]

Methods: 154
[name:accept, type:Object, file:null, step:When ]
[name:edit, type:UsersController, file:diaspora_diaspora\app\controllers\admin\users_controller.rb, step:When ]
[name:edit, type:UsersController, file:diaspora_diaspora\app\controllers\users_controller.rb, step:When ]
[name:execute_script, type:Object, file:null, step:Given ]
[name:execute_script, type:Object, file:null, step:When ]
[name:export_photos, type:UsersController, file:diaspora_diaspora\app\controllers\admin\users_controller.rb, step:When ]
[name:export_photos, type:UsersController, file:diaspora_diaspora\app\controllers\users_controller.rb, step:When ]
[name:export_profile, type:UsersController, file:diaspora_diaspora\app\controllers\admin\users_controller.rb, step:When ]
[name:export_profile, type:UsersController, file:diaspora_diaspora\app\controllers\users_controller.rb, step:When ]
[name:fill_in, type:Object, file:null, step:When ]
[name:find, type:Object, file:null, step:When ]
[name:find, type:Object, file:null, step:Then ]
[name:find_by_email, type:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:find_by_name, type:Object, file:null, step:Given ]
[name:find_by_username, type:User, file:diaspora_diaspora\app\models\user.rb, step:Given ]
[name:first, type:Object, file:null, step:Given ]
[name:first, type:InvitationCode, file:diaspora_diaspora\app\models\invitation_code.rb, step:When ]
[name:first, type:Object, file:null, step:When ]
[name:first_name, type:Object, file:null, step:Given ]
[name:flatten, type:Object, file:null, step:Then ]
[name:force_mobile, type:HomeController, file:diaspora_diaspora\app\controllers\home_controller.rb, step:When ]
[name:getting_started, type:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:has_content?, type:Object, file:null, step:Given ]
[name:has_key?, type:Object, file:null, step:Given ]
[name:hashes, type:Object, file:null, step:Given ]
[name:have_content, type:Object, file:null, step:Then ]
[name:have_content, type:Object, file:null, step:When ]
[name:have_css, type:Object, file:null, step:When ]
[name:have_no_content, type:Object, file:null, step:Then ]
[name:have_no_css, type:Object, file:null, step:When ]
[name:have_selector, type:Object, file:null, step:When ]
[name:have_text, type:Object, file:null, step:Then ]
[name:have_value, type:Object, file:null, step:When ]
[name:hover, type:Object, file:null, step:When ]
[name:id, type:Object, file:null, step:Given ]
[name:id, type:Object, file:null, step:When ]
[name:index, type:PhotosController, file:diaspora_diaspora\app\controllers\photos_controller.rb, step:When ]
[name:is_a?, type:Object, file:null, step:When ]
[name:last, type:Object, file:null, step:When ]
[name:last_name, type:Object, file:null, step:Given ]
[name:length, type:Object, file:null, step:Then ]
[name:liked, type:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:local_or_remote_person_path, type:PeopleHelper, file:diaspora_diaspora\app\helpers\people_helper.rb, step:When ]
[name:logout, type:UserCukeHelpers, file:diaspora_diaspora\features\support\user_cuke_helpers.rb, step:When ]
[name:make_post, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]
[name:mentioned, type:StreamsController, file:diaspora_diaspora\app\controllers\streams_controller.rb, step:When ]
[name:mentioned, type:User, file:diaspora_diaspora\app\models\user.rb, step:When ]
[name:merge, type:Object, file:null, step:Given ]
[name:mouse, type:Object, file:null, step:When ]
[name:move_to, type:Object, file:null, step:When ]
[name:multi, type:StreamsController, file:diaspora_diaspora\app\controllers\streams_controller.rb, step:When ]
[name:native, type:Object, file:null, step:When ]
[name:navigate_to, type:Paths, file:diaspora_diaspora\features\support\paths.rb, step:When ]
[name:navigate_to, type:Paths, file:diaspora_diaspora\features\support\paths.rb, step:Given ]
[name:page, type:Object, file:null, step:Given ]
[name:page, type:Object, file:null, step:Then ]
[name:page, type:Object, file:null, step:When ]
[name:path_to, type:Paths, file:diaspora_diaspora\features\support\paths.rb, step:When ]
[name:person, type:PostPresenter, file:diaspora_diaspora\app\presenters\post_presenter.rb, step:Given ]
[name:person, type:Object, file:null, step:When ]
[name:person, type:PostPresenter, file:diaspora_diaspora\app\presenters\post_presenter.rb, step:When ]
[name:pluck, type:Object, file:null, step:When ]
[name:profile, type:Object, file:null, step:Given ]
[name:raise, type:Object, file:null, step:When ]
[name:raw, type:MessageRenderer, file:diaspora_diaspora\lib\diaspora\message_renderer.rb, step:Given ]
[name:reload, type:Object, file:null, step:Given ]
[name:scan, type:Object, file:null, step:Then ]
[name:send, type:Object, file:null, step:When ]
[name:send_keys, type:Object, file:null, step:When ]
[name:sender, type:Object, file:null, step:When ]
[name:show, type:TagsController, file:diaspora_diaspora\app\controllers\tags_controller.rb, step:When ]
[name:show, type:InvitationCodesController, file:diaspora_diaspora\app\controllers\invitation_codes_controller.rb, step:When ]
[name:show, type:PhotosController, file:diaspora_diaspora\app\controllers\photos_controller.rb, step:When ]
[name:size, type:Object, file:null, step:When ]
[name:sleep, type:Object, file:null, step:When ]
[name:split, type:Object, file:null, step:Given ]
[name:stream_element_numbers_content, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:Then ]
[name:strip_exif, type:Block, file:diaspora_diaspora\app\models\block.rb, step:When ]
[name:submit_publisher, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]
[name:switch_to, type:Object, file:null, step:When ]
[name:text, type:Photo, file:diaspora_diaspora\app\models\photo.rb, step:When ]
[name:to, type:Object, file:null, step:When ]
[name:to, type:Object, file:null, step:Then ]
[name:to_i, type:Object, file:null, step:Then ]
[name:toggle_aspect, type:AspectsSteps, file:diaspora_diaspora\features\step_definitions\aspects_steps.rb, step:When ]
[name:toggle_mobile, type:HomeController, file:diaspora_diaspora\app\controllers\home_controller.rb, step:When ]
[name:toggle_mobile, type:HomeController, file:diaspora_diaspora\app\controllers\home_controller.rb, step:null]
[name:up, type:Object, file:null, step:When ]
[name:update_attributes!, type:Object, file:null, step:Given ]
[name:value, type:Object, file:null, step:When ]
[name:where, type:User, file:diaspora_diaspora\app\models\user.rb, step:Given ]
[name:where, type:Object, file:null, step:Given ]
[name:where, type:Request, file:diaspora_diaspora\lib\diaspora\federated\request.rb, step:When ]
[name:where, type:Object, file:null, step:When ]
[name:width, type:Object, file:null, step:When ]
[name:with_scope, type:WebSteps, file:diaspora_diaspora\features\step_definitions\web_steps.rb, step:Given ]
[name:with_scope, type:WebSteps, file:diaspora_diaspora\features\step_definitions\web_steps.rb, step:Then ]
[name:with_scope, type:WebSteps, file:diaspora_diaspora\features\step_definitions\web_steps.rb, step:When ]
[name:within, type:Object, file:null, step:Given ]
[name:within, type:Object, file:null, step:Then ]
[name:within, type:Object, file:null, step:When ]
[name:write_in_publisher, type:PublishingCukeHelpers, file:diaspora_diaspora\features\support\publishing_cuke_helpers.rb, step:When ]

Referenced pages: 31
diaspora_diaspora\app\views\aspects\_aspect_listings.haml
diaspora_diaspora\app\views\aspects\_aspect_stream.haml
diaspora_diaspora\app\views\devise\passwords\new.haml
diaspora_diaspora\app\views\devise\passwords\new.mobile.haml
diaspora_diaspora\app\views\home\default.haml
diaspora_diaspora\app\views\home\show.haml
diaspora_diaspora\app\views\people\_index.html.haml
diaspora_diaspora\app\views\photos\_index.mobile.haml
diaspora_diaspora\app\views\photos\_new_profile_photo.haml
diaspora_diaspora\app\views\photos\_new_profile_photo.mobile.haml
diaspora_diaspora\app\views\photos\_photo.haml
diaspora_diaspora\app\views\photos\edit.html.haml
diaspora_diaspora\app\views\photos\show.mobile.haml
diaspora_diaspora\app\views\profiles\_edit.haml
diaspora_diaspora\app\views\profiles\edit.haml
diaspora_diaspora\app\views\profiles\edit.mobile.haml
diaspora_diaspora\app\views\publisher\_publisher.html.haml
diaspora_diaspora\app\views\shared\_right_sections.html.haml
diaspora_diaspora\app\views\shared\_settings_nav.haml
diaspora_diaspora\app\views\shared\_stream.haml
diaspora_diaspora\app\views\streams\main_stream.html.haml
diaspora_diaspora\app\views\streams\main_stream.mobile.haml
diaspora_diaspora\app\views\tags\_followed_tags_listings.haml
diaspora_diaspora\app\views\tags\show.haml
diaspora_diaspora\app\views\tags\show.mobile.haml
diaspora_diaspora\app\views\users\_close_account_modal.haml
diaspora_diaspora\app\views\users\edit.html.haml
diaspora_diaspora\app\views\users\edit.mobile.haml
diaspora_diaspora\app\views\users\getting_started.haml
diaspora_diaspora\app\views\users\getting_started.mobile.haml
diaspora_diaspora\app\views\users\privacy_settings.html.haml

